id	name	english	cns	ins	func	usage_scope	max_dosage
83	4-己基间苯二酚	4-hexylresorcinol	04.013	586	抗氧化剂	鲜水产	部分类别按生产需要适量使用
21	5’-呈味核苷酸二钠（又名呈味核苷酸二钠）	disodium 5'-ribonucleotide	12.004	635	增味剂	—、茶、蔬菜、酱油、果泥、糕点、糟蛋、食醋等	部分类别按生产需要适量使用
81	5’-肌苷酸二钠	disodium 5'-inosinate	12.003	631	增味剂	—、茶、蔬菜、酱油、果泥、糕点、糟蛋、食醋等	部分类别按生产需要适量使用
157	5’-鸟苷酸二钠	disodium 5'-guanylate	12.002	627	增味剂	—、茶、蔬菜、酱油、果泥、糕点、糟蛋、食醋等	部分类别按生产需要适量使用
53	D-甘露糖醇	D-mannitol	19.017	421	甜味剂、乳化剂、膨松剂、稳定剂、增稠剂	糖果、胶基糖果、除胶基糖果以外的其他糖果	部分类别按生产需要适量使用
265	D-异抗坏血酸及其钠盐（包括D-异抗坏血酸，D-异抗坏血酸钠）	D-isoascorbic acid (erythorbic acid), sodium D-isoascorbate	04.004,04.018	315,316	抗氧化剂、护色剂	—、茶、蔬菜、酱油、果泥、糕点、糟蛋、食醋等	≤0.15 g/kg；部分类别按生产需要适量使用
169	DL-苹果酸	DL -malic acid	01.309	296	酸度调节剂	—、茶、蔬菜、酱油、果泥、糕点、糟蛋、食醋等	部分类别按生产需要适量使用
166	DL-苹果酸钠	sodium DL-malate	01.314	350（ii）	酸度调节剂	—、茶、蔬菜、酱油、果泥、糕点、糟蛋、食醋等	部分类别按生产需要适量使用
8	L-半胱氨酸盐酸盐	L-cysteine hydrochlorides sodium and potassium salts	13.003	920	面粉处理剂	生湿面制品、发酵面制品、冷冻米面制品	0.06~0.6 g/kg
14	L-丙氨酸	L-alanine	12.006	—	增味剂	—、酱油、食醋、调味酱、调味汁、调味品、酿造酱、浓缩汤等	部分类别按生产需要适量使用
94	L（+）-酒石酸，dl-酒石酸	L (+)-tartaric acid, dl-tartaric acid	01.111,01.313	334,—	酸度调节剂	茶、面糊、糖果、咖啡、葡萄酒、果蔬汁、植物饮料、胶基糖果等	2~30 g/kg
167	L-苹果酸	L-malic acid	01.104	—	酸度调节剂	—、茶、蔬菜、酱油、果泥、糕点、糟蛋、食醋等	部分类别按生产需要适量使用
168	L-苹果酸钠	L- (-)-malic acid disodium salt	01.315	—	酸度调节剂	—、茶、蔬菜、酱油、果泥、糕点、糟蛋、食醋等	部分类别按生产需要适量使用
78	α-环状糊精	alpha -cyclodextrin	18.011	457	稳定剂、增稠剂	—、茶、蔬菜、酱油、果泥、糕点、糟蛋、食醋等	部分类别按生产需要适量使用
2	β－阿朴－8’－胡萝卜素醛	β-apo-8’-carotenal	08.018	160e	着色剂	茶、—、月饼、糕点、蛋卷、糖果、咖啡、面包等	0.005~0.02 g/kg
71	β-胡萝卜素	beta-carotene synthetic, beta-carotene, Blakeslea trispora, beta-carotene, algal	08.010	160a(i),160a(iii),160a(iv)	着色剂	—、茶、糕点、蜜饯、饼干、黄酒、面糊、月饼等	0.02~20 g/kg
80	β-环状糊精	beta-cyclodextrin	20.024	459	增稠剂、其他	茶、—、咖啡、肉松类、果蔬汁、肉干类、糟肉类、肉丸类等	0.5~20 g/kg
79	γ-环状糊精	gamma-cyclodextrin	18.012	458	稳定剂、增稠剂	—、茶、蔬菜、酱油、果泥、糕点、糟蛋、食醋等	部分类别按生产需要适量使用
102	ε-聚赖氨酸	ε-polylysine	17.037	—	防腐剂	—、月饼、糕点、蛋卷、面包、饼干、肉松类、果蔬汁等	0.15~0.25 g/kg
103	ε-聚赖氨酸盐酸盐	ε-polylysine hydrochloride	17.038	—	防腐剂	—、茶、蔬菜、酱油、果泥、食醋、蜜饯、米粉等	0.2~0.5 g/kg
1	阿拉伯胶	arabic gum	20.008	414	增稠剂、其他	—、茶、蔬菜、酱油、果泥、糕点、糟蛋、食醋等	部分类别按生产需要适量使用
222	阿力甜（又名L-α-天冬氨酰-N-（2，2，4，4-四甲基-3-硫化三亚甲基）-D-丙氨酰胺）	alitame	19.013	956	甜味剂	茶、—、果冻、咖啡、饮料类、果蔬粉、果蔬汁、话化类等	0.1~0.3 g/kg；部分类别按生产需要适量使用
3	爱德万甜（又名N-{N-[3-（3-羟基-4-甲氧基苯基）丙基]-L-α-天冬氨酰}-L-苯丙氨酸-1-甲酯）	advantame(N-[N-[3-(3-hydroxy-4-methoxyphenyl) propyl]-L-α-aspartyl]-L-phenylalanine 1-methyl ester)	19.026	969	甜味剂	—、茶、果泥、蜜饯、果冻、糖果、果酱、咖啡等	0.0004~0.12 g/kg；部分类别按生产需要适量使用
4	氨基乙酸（又名甘氨酸）	glycine	12.007	640	增味剂	—、酱油、食醋、肉松类、调味酱、果蔬汁、调味汁、调味品等	1~3 g/kg
5	铵磷脂	ammonium phosphatide	10.033	442	乳化剂	巧克力和巧克力制品、除05.01.01以外的可可制品	≤10 g/kg
6	巴西棕榈蜡	carnauba wax	14.008	903	被膜剂、抗结剂	糖果、新鲜水果、可可制品、胶基糖果、装饰糖果、未经加工的鲜水果、经表面处理的鲜水果、去皮或预切的鲜水果等	0.0004~0.6 g/kg
7	白油（又名液体石蜡）	mineral oil, white (liquid paraffin)	14.003	905a	被膜剂	鲜蛋、除胶基糖果以外的其他糖果	≤5 g/kg
9	半乳甘露聚糖	galactomannan	00.014	—	其他	—、茶、蔬菜、酱油、果泥、糕点、糟蛋、食醋等	部分类别按生产需要适量使用
13	冰结构蛋白	ice structuring protein	00.020	—	其他	—、冷冻饮品、其他冷冻饮品、冰淇淋、雪糕类、风味冰、冰棍类	部分类别按生产需要适量使用
12	冰乙酸（低压羰基化法）	acetic acid	01.112	—	酸度调节剂	—、茶、蔬菜、酱油、果泥、糕点、糟蛋、蜜饯等	部分类别按生产需要适量使用
11	冰乙酸（又名冰醋酸）	acetic acid	01.107	260	酸度调节剂	—、茶、蔬菜、酱油、果泥、糕点、糟蛋、蜜饯等	部分类别按生产需要适量使用
15	丙二醇	propylene glycol	18.004	1520	稳定剂和凝固剂、抗结剂、乳化剂、水分保持剂、增稠剂	月饼、糕点、西式糕点、中式糕点、糕点上彩装、生湿面制品	1.5~3 g/kg
16	丙二醇脂肪酸酯	propylene glycol esters of fatty acids	10.020	477	乳化剂、稳定剂	—、月饼、糕点、调味酱、调味汁、淡炼乳、调制乳、浓缩汤等	2~20 g/kg
17	丙酸及其钠盐、钙盐（包括丙酸，丙酸钠，丙酸钙）	propionic acid, sodium propionate, calcium propionate	17.029,17.006,17.005	280,281,282	防腐剂	月饼、酱油、糕点、食醋、面包、原粮、豆干类、调味汁等	0.25~3 g/kg
18	茶多酚（又名维多酚，简称“TP”）	tea polyphenol (TP)	04.005	—	抗氧化剂	—、月饼、糕点、果酱、调味酱、调味汁、植物油、糟肉类等	0.1~0.8 g/kg
19	茶多酚棕榈酸酯	tea polyphenol palmitate	04.021	—	抗氧化剂	植物油、动物油脂、植物油脂、氢化植物油、无水黄油，无水乳脂、基本不含水的脂肪和油	≤0.6 g/kg
20	茶黄素	theaflavins	04.023	—	抗氧化剂	—、糕点、饼干、月饼、果冻、面包、蛋卷、调味酱等	0.1~0.8 g/kg
22	赤藓红及其铝色淀（包括赤藓红，赤藓红铝色淀）	erythrosine, erythrosine aluminum lake	08.003	127	着色剂	—、糖果、调味酱、果蔬汁、调味汁、配制酒、酿造酱、浓缩汤等	0.015~0.1 g/kg
23	赤藓糖醇	erythritol	19.018	968	甜味剂	—、茶、蔬菜、酱油、果泥、糕点、糟蛋、食醋等	部分类别按生产需要适量使用
24	刺梧桐胶	karaya gum	18.010	416	稳定剂	人造黄油、水油状脂肪乳化制品、脂肪含量80%以上的乳化制品、脂肪含量80%以下的乳化制品	部分类别按生产需要适量使用
25	刺云实胶	tara gum	20.041	417	增稠剂	—、茶、糕点、饼干、月饼、果冻、果酱、面包等	1.5~10 g/kg
26	醋酸酯淀粉	starch acetate	20.039	1420	增稠剂	—、茶、蔬菜、酱油、果泥、糕点、糟蛋、食醋等	部分类别按生产需要适量使用
27	达瓦树胶	ghatti gum	10.043	419	乳化剂	其他特殊膳食用食品	≤3 g/kg
28	单，双甘油脂肪酸酯	mono-and diglycerides of fatty acids	10.006	471	乳化剂、被膜剂	—、茶、酒类、皮蛋、月饼、花粉、水果、果泥等	5~30 g/kg；部分类别按生产需要适量使用
29	单辛酸甘油酯	capryl monoglyceride	17.031	—	防腐剂	月饼、糕点、西式糕点、中式糕点、肉灌肠类、糕点上彩装、生湿面制品、焙烤食品馅料及表面用挂浆	0.5~1 g/kg
30	氮气（液氮）	nitrogen	00.024	—	其他	茶、咖啡、含乳饮料、植物饮料、蛋白饮料、风味发酵乳、乳酸菌饮料、植物蛋白饮料等	部分类别按生产需要适量使用
31	淀粉磷酸酯钠（又名淀粉磷酸酯，磷酸酯淀粉，单淀粉磷酸酯）	sodium starch phosphate (monostarch phosphate)	20.013	1410	增稠剂	茶、—、酱油、食醋、咖啡、果酱、调味酱、饮料类等	部分类别按生产需要适量使用
32	靛蓝及其铝色淀（包括靛蓝，靛蓝铝色淀）	indigotine, indigotine aluminum lake	08.008	132	着色剂	糖果、果蔬汁、配制酒、膨化食品、胶基糖果、碳酸饮料、风味饮料、装饰糖果等	0.01~0.3 g/kg
34	对羟基苯甲酸酯类及其钠盐（包括对羟基苯甲酸甲酯钠，对羟基苯甲酸乙酯，对羟基苯甲酸乙酯钠）	p-hydroxy benzoates and its salts (sodium methyl p-hydroxy benzoate, ethyl p-hydroxy benzoate, sodium ethyl p-hydroxy benzoate)	17.032,17.007,17.036	219,214,215	防腐剂	酱油、食醋、果酱、调味酱、果蔬汁、调味汁、酿造酱、浓缩汤等	0.012~0.5 g/kg
37	二甲基二碳酸盐（又名维果灵）	dimethyl dicarbonate	17.033	242	防腐剂	茶、果蔬汁、碳酸饮料、风味饮料、其他类饮料、特殊用途饮料、果蔬固体饮料、茶类固体饮料等	≤0.25 g/kg
38	二氧化硅	silicon dioxide	02.004	551	抗结剂	—、面糊、原粮、果蔬粉、固体饮料、香辛料酱、香辛料油、速溶咖啡等	0.5~20 g/kg
39	二氧化硫及亚硫酸盐（包括二氧化硫，焦亚硫酸钾，焦亚硫酸钠，亚硫酸钠，亚硫酸氢钠，低亚硫酸钠）	sulfur dioxide, potassium metabisulphite, sodium metabisulphite, sodium sulfite, sodium hydrogen sulfite, sodium hyposulfite	05.001,05.002,05.003,05.004,05.005,05.006	220,224,223,221,222 ,—	漂白剂、防腐剂、抗氧化剂	—、果酒、蛋卷、蜜饯、糖果、果酱、饼干、葡萄酒等	0.01~0.4 g/kg
40	二氧化钛	titanium dioxide	08.011	171	着色剂	—、其他、果冻、果酱、果蔬粉、话化类、固体饮料、膨化食品等	0.5~10 g/kg；部分类别按生产需要适量使用
41	二氧化碳	carbon dioxide	17.014	290	防腐剂、其他	茶、—、咖啡、饮料类、果蔬粉、果蔬汁、配制酒、固体饮料等	部分类别按生产需要适量使用
42	番茄红	tomato red	08.150	—	着色剂	茶、—、咖啡、调味酱、饮料类、果蔬粉、果蔬汁、固体饮料等	0.006~0.25 g/kg
43	番茄红素	lycopene, synthetic, lycopene, Blakeslea trispora	08.017	160d(i),160d(iii)	着色剂	茶、—、月饼、果冻、糕点、蛋卷、糖果、咖啡等	0.015~0.39 g/kg
44	蜂蜡	beeswax	14.013	901	被膜剂	糖果、胶基糖果、糖果和巧克力制品包衣、除胶基糖果以外的其他糖果	部分类别按生产需要适量使用
45	富马酸	fumaric acid	01.110	297	酸度调节剂	月饼、糕点、蛋卷、面包、饼干、果蔬汁、西式糕点、中式糕点等	0.3~8 g/kg；部分类别按生产需要适量使用
46	富马酸一钠	monosodium fumarate	01.311	365	酸度调节剂	—、茶、糕点、饼干、月饼、面包、蛋卷、咖啡等	部分类别按生产需要适量使用
47	改性大豆磷脂	modified soybean phospholipid	10.019	—	乳化剂	—、茶、蔬菜、酱油、果泥、糕点、糟蛋、食醋等	部分类别按生产需要适量使用
48	甘草抗氧化物	antioxidant of glycyrrhiza	04.008	—	抗氧化剂	蛋卷、饼干、植物油、糟肉类、白煮肉类、膨化食品、威化饼干、酱卤肉类等	≤0.2 g/kg
49	甘草酸盐（包括甘草酸铵，甘草酸一钾，甘草酸三钾）	ammonium glycyrrhizinate, monopotassium and tripotassium glycyrrhizinate	19.012,19.010,19.025	958	甜味剂	—、茶、酱油、食醋、蜜饯、饼干、糖果、蛋卷等	部分类别按生产需要适量使用
50	甘油（又名丙三醇）	glycerine (glycerol)	15.014	422	水分保持剂、乳化剂	—、茶、蔬菜、酱油、果泥、糕点、糟蛋、食醋等	部分类别按生产需要适量使用
51	柑橘黄	orange yellow	08.143	—	着色剂	—、茶、蔬菜、酱油、果泥、糕点、糟蛋、食醋等	部分类别按生产需要适量使用
52	高粱红	sorghum red	08.115	—	着色剂	—、茶、蔬菜、酱油、果泥、糕点、糟蛋、食醋等	部分类别按生产需要适量使用
54	高锰酸钾	potassium permanganate	00.001	—	其他	食用淀粉	≤0.5 g/kg
56	谷氨酰胺转氨酶	glutamine transaminase	18.013	—	稳定剂和凝固剂	腐竹类、豆腐类、豆干类、腐乳类、熏制豆干、其他豆干、豆类制品、炸制豆干等	0.25~0.3 g/kg
57	瓜尔胶	guar gum	20.025	412	增稠剂	—、茶、蔬菜、酱油、果泥、糕点、糟蛋、食醋等	≤1 g/kg；部分类别按生产需要适量使用
58	硅酸钙	calcium silicate	02.009	552	抗结剂	—、粉圆、藕粉、食糖、调味酱、干酵母、果蔬粉、调味汁等	部分类别按生产需要适量使用
59	果胶	pectins	20.006	440	乳化剂、稳定剂、增稠剂	—、茶、酒类、皮蛋、月饼、花粉、水果、果泥等	≤3 g/kg；部分类别按生产需要适量使用
60	海藻酸丙二醇酯	propylene glycol alginate	20.010	405	增稠剂、乳化剂、稳定剂	—、茶、糕点、粉圆、月饼、果酱、面包、咖啡等	0.3~8 g/kg
61	海藻酸钙（又名褐藻酸钙）	calcium alginate	20.046	404	增稠剂、稳定剂和凝固剂	—、面包、油炸面制品、小麦粉制品、发酵面制品、其他小麦粉制品	≤5 g/kg
62	海藻酸钾（又名褐藻酸钾）	potassium alginate	20.005	402	增稠剂	—、茶、蔬菜、酱油、果泥、糕点、糟蛋、食醋等	部分类别按生产需要适量使用
63	海藻酸钠（又名褐藻酸钠）	sodium alginate	20.004	401	增稠剂、稳定剂	—、茶、蔬菜、酱油、果泥、糕点、糟蛋、食醋等	≤10 g/kg；部分类别按生产需要适量使用
64	核黄素	riboflavin	08.148	101(i),101(iii)	着色剂	固体汤料、鸡精、鸡粉、其他杂粮制品、方便米面制品、固体复合调味料、其他固体复合调味料	0.05~0.3 g/kg
65	黑豆红	black bean red	08.114	—	着色剂	糖果、果蔬汁、配制酒、风味饮料、胶基糖果、糕点上彩装、果蔬固体饮料、果味风味固体饮料等	≤0.8 g/kg
66	黑加仑红	black currant red	08.122	163(iii)	着色剂	果酒、碳酸饮料、糕点上彩装、固体碳酸饮料、可乐型碳酸饮料、其他型碳酸饮料、其他型固体碳酸饮料、可乐型固体碳酸饮料	≤0.3 g/kg；部分类别按生产需要适量使用
67	红花黄	carthamins yellow	08.103	—	着色剂	—、酱油、果冻、食醋、蜜饯、糖果、调味酱、果蔬汁等	0.2~0.5 g/kg
68	红米红	red rice red	08.111	—	着色剂	—、糖果、配制酒、调制乳、冷冻饮品、含乳饮料、胶基糖果、乳酸菌饮料等	部分类别按生产需要适量使用
69	红曲黄色素	monascus yellow pigment	08.152	—	着色剂	—、月饼、果冻、糕点、卤蛋、肉松类、果蔬粉、果蔬汁等	部分类别按生产需要适量使用
70	红曲米，红曲红	red kojic rice, monascus red	08.119,08.120	—	着色剂	—、酱油、糕点、食醋、饼干、月饼、果冻、糖果等	0.8~1 g/kg；部分类别按生产需要适量使用
72	琥珀酸单甘油酯	succinylated monoglycerides	10.038	472g	乳化剂	茶、—、月饼、糕点、蛋卷、咖啡、面包、饼干等	2~20 g/kg
73	琥珀酸二钠	disodium succinate	12.005	364(ii)	增味剂	—、酱油、食醋、调味酱、调味汁、调味品、酿造酱、浓缩汤等	≤20 g/kg
74	花生衣红	peanut skin red	08.134	—	着色剂	蛋卷、饼干、糖果、碳酸饮料、威化饼干、其他饼干、肉灌肠类、胶基糖果等	0.1~0.4 g/kg
75	槐豆胶（又名刺槐豆胶）	carob bean gum	20.023	410	增稠剂	—、茶、蔬菜、酱油、果泥、糕点、糟蛋、食醋等	部分类别按生产需要适量使用
82	己二酸	adipic acid	01.109	355	酸度调节剂	—、果冻、果蔬粉、固体饮料、胶基糖果、速溶咖啡、蛋白固体饮料、果蔬固体饮料等	0.01~4 g/kg
84	甲基纤维素	methyl cellulose	20.043	461	增稠剂	—、茶、蔬菜、酱油、果泥、糕点、糟蛋、食醋等	部分类别按生产需要适量使用
85	甲壳素（又名几丁质）	chitin	20.018	—	增稠剂、稳定剂	—、食醋、果酱、调味汁、浓缩汤、冷冻饮品、肉汤、骨汤、氢化植物油等	0.4~5 g/kg
86	姜黄	turmeric	08.102	100(ii)	着色剂	—、茶、酱油、糕点、食醋、粉圆、饼干、面糊等	0.01~1.2 g/kg；部分类别按生产需要适量使用
87	姜黄素	curcumin	08.132	100(i)	着色剂	—、面糊、果冻、糖果、调味酱、调味汁、浓缩汤、膨化食品等	0.01~0.7 g/kg；部分类别按生产需要适量使用
88	焦糖色（加氨生产）	caramel colour class Ⅲ-ammonia process	08.110	150c	着色剂	—、面糊、酱油、果冻、食醋、蛋卷、粉圆、糖果等	1~50 g/kg；部分类别按生产需要适量使用
89	焦糖色（苛性硫酸盐法）	caramel colour classⅡ-caustic sulfite	08.151	150b	着色剂	配制酒、威士忌、白兰地、朗姆酒	
90	焦糖色（普通法）	caramel colour classⅠ-plain	08.108	150a	着色剂	—、面糊、酱油、果冻、食醋、蛋卷、糖果、黄酒等	1.5~2.5 g/kg；部分类别按生产需要适量使用
91	焦糖色（亚硫酸铵法）	caramel colour class Ⅳ-ammonia sulphite process	08.109	150d	着色剂	—、茶、酱油、饼干、黄酒、面糊、糖果、蛋卷等	0.1~50 g/kg；部分类别按生产需要适量使用
92	结冷胶	gellan gum	20.027	418	增稠剂	—、茶、蔬菜、酱油、果泥、糕点、糟蛋、食醋等	部分类别按生产需要适量使用
93	金樱子棕	rose laevigata michx brown	08.131	—	着色剂	月饼、糕点、配制酒、碳酸饮料、西式糕点、中式糕点、糕点上彩装、固体碳酸饮料等	0.2~1 g/kg
95	酒石酸氢钾	potassium bitartrate	06.007	336	膨松剂	—、月饼、糕点、蛋卷、面包、饼干、西式糕点、中式糕点等	部分类别按生产需要适量使用
96	酒石酸铁	iron tartrate	02.011	—	抗结剂	盐及代盐制品	≤0.106 g/kg
97	菊花黄浸膏	coreopsis yellow	08.113	—	着色剂	糖果、果蔬汁、风味饮料、胶基糖果、可可制品、装饰糖果、糕点上彩装、果蔬固体饮料等	≤0.3 g/kg
98	聚丙烯酸钠	sodium polyacrylate	20.036	—	增稠剂	—、茶、蔬菜、酱油、果泥、糕点、糟蛋、食醋等	部分类别按生产需要适量使用
99	聚二甲基硅氧烷及其乳液（包括聚二甲基硅氧烷，聚二甲基硅氧烷乳液）	polydimethyl siloxane and emulsion	03.007	900a	被膜剂	经表面处理的鲜水果、经表面处理的新鲜蔬菜	≤0.0009 g/kg
100	聚甘油蓖麻醇酸酯（简称“PGPR”）	polyglycerol polyricinoleate (polyglycerol esters of interesterified ricinoleic acid) (PGPR)	10.029	476	乳化剂、稳定剂	—、调味酱、人造黄油、可可制品、装饰糖果、调制稀奶油、蛋黄酱、沙拉酱、半固体复合调味料等	5~10 g/kg
101	聚甘油脂肪酸酯	polyglycerol esters of fatty acids (polyglycerol fatty acid esters)	10.022	475	乳化剂、稳定剂、增稠剂、抗结剂	—、茶、酱油、糕点、食醋、饼干、面糊、月饼等	5~20 g/kg
104	聚葡萄糖	polydextroses	20.022	1200	增稠剂、膨松剂、水分保持剂、稳定剂	—、茶、糕点、饼干、月饼、果冻、糖果、面包等	部分类别按生产需要适量使用
105	聚天冬氨酸钾	potassium polyaspartate	18.014	456	稳定剂和凝固剂	葡萄酒、调香葡萄酒、起泡葡萄酒、无汽葡萄酒、特种葡萄酒	
107	聚乙二醇	polyethylene glycol	14.012	1521	被膜剂	糖果和巧克力制品包衣	部分类别按生产需要适量使用
108	聚乙烯醇	polyvinyl alcohol	14.010	1203	被膜剂	糖果和巧克力制品包衣	≤18 g/kg
109	决明胶	cassia gum	20.045	427	增稠剂	—、月饼、糕点、蛋卷、面包、饼干、调味酱、调味汁等	1.5~3 g/kg
110	咖啡因	caffeine	00.007	—	其他	可乐型碳酸饮料	≤0.15 g/kg
112	抗坏血酸（又名维生素C）	ascorbic acid (vitamin C)	04.014	300	面粉处理剂、抗氧化剂	—、茶、酒类、皮蛋、月饼、花粉、水果、果泥等	0.2~5 g/kg；部分类别按生产需要适量使用
113	抗坏血酸钙	calcium ascorbate	04.009	302	抗氧化剂	—、茶、蔬菜、酱油、果泥、糕点、糟蛋、食醋等	≤1 g/kg；部分类别按生产需要适量使用
114	抗坏血酸钠	sodium ascorbate	04.015	301	抗氧化剂	—、茶、蔬菜、酱油、果泥、糕点、糟蛋、食醋等	部分类别按生产需要适量使用
115	抗坏血酸棕榈酸酯	ascorbyl palmitate	04.011	304	抗氧化剂	茶、面包、植物油、动物油脂、植物油脂、人造黄油、脂肪类甜品、氢化植物油等	0.05~0.2 g/kg
